time,open,high,low,close,tick_volume,spread,real_volume
2024-05-23 12:15:00,69741.6,69787.35,69676.24,69730.85,1298,1500,0
2024-05-23 12:20:00,69730.85,69795.4,69696.1,69707.27,1299,1500,0
2024-05-23 12:25:00,69712.33,69770.31,69668.74,69705.7,1238,1500,0
2024-05-23 12:30:00,69705.7,69833.4,69679.03,69808.94,1099,1176,0
2024-05-23 12:35:00,69811.22,69825.32,69701.15,69718.58,1027,1237,0
2024-05-23 12:40:00,69718.58,69731.98,69586.56,69610.44,1040,1191,0
2024-05-23 12:45:00,69610.96,69647.67,69544.22,69616.12,1215,1507,0
2024-05-23 12:50:00,69616.12,69658.01,69604.81,69643.47,953,1500,0
2024-05-23 12:55:00,69643.47,69643.47,69589.38,69618.22,986,1507,0
2024-05-23 13:00:00,69618.22,69651.6,69548.63,69651.6,1156,1500,0
2024-05-23 13:05:00,69652.22,69700.76,69642.72,69664.18,984,1500,0
2024-05-23 13:10:00,69664.18,69747.62,69660.72,69708.76,951,1438,0
2024-05-23 13:15:00,69709.82,69785.92,69703.1,69773.39,1095,1402,0
2024-05-23 13:20:00,69780.23,69787.97,69663.85,69666.62,1156,970,0
2024-05-23 13:25:00,69666.62,69731.3,69659.52,69731.3,940,1246,0
2024-05-23 13:30:00,69727.27,69773.44,69600.43,69637.73,945,856,0
2024-05-23 13:35:00,69637.73,69744.03,69600.9,69736.06,944,952,0
2024-05-23 13:40:00,69729.39,69772.86,69675.11,69724.73,969,832,0
2024-05-23 13:45:00,69718.12,69765.37,69696.93,69709.78,1078,954,0
2024-05-23 13:50:00,69709.77,69721.03,69534.63,69541.73,1099,1072,0
2024-05-23 13:55:00,69541.73,69558.8,69495.78,69520.39,984,1500,0
2024-05-23 14:00:00,69520.39,69572.25,69502.1,69569.84,882,962,0
2024-05-23 14:05:00,69565.47,69743.89,69553.48,69679.21,1058,1500,0
2024-05-23 14:10:00,69679.21,69717.59,69626.15,69683.87,996,1357,0
2024-05-23 14:15:00,69683.5,69750.52,69631.03,69745.51,1009,813,0
2024-05-23 14:20:00,69744.99,69853.53,69742.48,69848.83,1270,1482,0
2024-05-23 14:25:00,69848.83,69931.52,69828.76,69904.58,1243,727,0
2024-05-23 14:30:00,69902.19,69994.57,69889.87,69977.09,1129,670,0
2024-05-23 14:35:00,69980.24,69981.84,69901.67,69930.92,884,1159,0
2024-05-23 14:40:00,69923.85,69982.89,69899.59,69906.45,932,1182,0
2024-05-23 14:45:00,69906.45,69911.13,69818.42,69884.62,1192,1242,0
2024-05-23 14:50:00,69882.72,70026.17,69877.42,69944.45,1421,1500,0
2024-05-23 14:55:00,69945.67,70039.62,69901.51,69934.25,1345,1500,0
2024-05-23 15:00:00,69931.85,70044.1,69903.23,69934.58,1255,1244,0
2024-05-23 15:05:00,69939.13,70056.77,69871.45,69990.7,1227,1500,0
2024-05-23 15:10:00,69995.61,70017.24,69885.3,69930.94,1287,895,0
2024-05-23 15:15:00,69926.19,69949.28,69782.85,69795.05,1262,1507,0
2024-05-23 15:20:00,69795.05,69887.09,69786.1,69830.38,1180,1259,0
2024-05-23 15:25:00,69830.37,70029.82,69803.0,69946.05,1347,610,0
2024-05-23 15:30:00,69946.05,69946.05,69805.89,69906.44,1313,1104,0
2024-05-23 15:35:00,69906.43,69936.06,69790.1,69851.61,1308,566,0
2024-05-23 15:40:00,69852.84,69871.78,69792.21,69817.84,1188,1500,0
2024-05-23 15:45:00,69817.84,69818.25,69712.28,69756.45,1334,1500,0
2024-05-23 15:50:00,69759.96,69778.53,69602.75,69613.29,1197,984,0
2024-05-23 15:55:00,69611.72,69659.05,68957.47,69403.65,1362,0,0
2024-05-23 16:00:00,69411.99,69578.32,69170.69,69277.87,1349,1163,0
2024-05-23 16:05:00,69272.0,69454.03,69152.21,69331.98,1393,1500,0
2024-05-23 16:10:00,69329.38,69461.89,69283.78,69365.08,1335,859,0
2024-05-23 16:15:00,69365.08,69406.84,69130.4,69154.91,1390,668,0
2024-05-23 16:20:00,69154.15,69408.78,69138.6,69382.89,1341,996,0
2024-05-23 16:25:00,69377.33,69410.74,69213.07,69256.72,1290,1500,0
2024-05-23 16:30:00,69256.72,69369.97,69094.31,69123.21,1416,983,0
2024-05-23 16:35:00,69126.29,69164.66,68548.14,68636.64,1422,1507,0
2024-05-23 16:40:00,68636.64,68803.27,68496.63,68712.45,1427,0,0
2024-05-23 16:45:00,68712.45,68717.72,68088.99,68088.99,1436,0,0
2024-05-23 16:50:00,68089.9,68112.19,67629.22,68055.17,1372,451,0
2024-05-23 16:55:00,68048.86,68143.52,67850.36,67977.4,1442,1321,0
2024-05-23 17:00:00,67977.04,68032.79,67847.01,67849.3,1440,1297,0
2024-05-23 17:05:00,67848.36,67998.5,67629.72,67787.57,1421,1203,0
2024-05-23 17:10:00,67779.5,68208.64,67738.61,68193.81,1363,1454,0
2024-05-23 17:15:00,68192.65,68296.51,68051.55,68054.27,1382,0,0
2024-05-23 17:20:00,68053.63,68079.75,67835.07,67935.96,1241,1375,0
2024-05-23 17:25:00,67938.03,68038.3,67817.22,67831.59,1312,1500,0
2024-05-23 17:30:00,67831.59,67981.68,67809.94,67911.26,1270,710,0
2024-05-23 17:35:00,67905.32,67953.6,67820.99,67930.57,1117,1339,0
2024-05-23 17:40:00,67930.57,67942.82,67660.22,67760.58,1326,1507,0
2024-05-23 17:45:00,67767.11,67809.33,67631.04,67642.15,1332,1058,0
2024-05-23 17:50:00,67638.9,67920.48,67557.31,67780.3,1317,508,0
2024-05-23 17:55:00,67785.56,67807.57,67627.68,67700.56,1294,832,0
2024-05-23 18:00:00,67699.52,67964.76,67641.12,67871.27,1350,814,0
2024-05-23 18:05:00,67871.27,68055.31,67819.5,68043.15,1351,1500,0
2024-05-23 18:10:00,68042.55,68120.64,67921.09,68067.54,1318,1500,0
2024-05-23 18:15:00,68065.97,68132.0,68020.76,68045.28,1286,1500,0
2024-05-23 18:20:00,68045.28,68184.18,68032.12,68165.93,1277,1500,0
2024-05-23 18:25:00,68170.04,68192.29,68087.5,68164.76,1171,1209,0
2024-05-23 18:30:00,68163.05,68263.95,68128.49,68181.5,1248,1500,0
2024-05-23 18:35:00,68181.5,68244.51,68052.35,68180.35,1263,1056,0
2024-05-23 18:40:00,68168.13,68201.66,68079.69,68118.96,1113,1323,0
2024-05-23 18:45:00,68109.96,68127.93,67916.39,67917.1,1251,1478,0
2024-05-23 18:50:00,67918.6,68016.43,67905.08,67992.69,1058,1500,0
2024-05-23 18:55:00,67991.89,68082.28,67959.54,68025.37,1120,1183,0
2024-05-23 19:00:00,68025.37,68095.34,67953.28,68030.67,1205,1500,0
2024-05-23 19:05:00,68028.35,68098.51,67962.5,68043.84,1024,1500,0
2024-05-23 19:10:00,68044.62,68097.11,67855.62,67869.07,1255,1500,0
2024-05-23 19:15:00,67866.25,67909.91,67820.0,67835.6,1330,1395,0
2024-05-23 19:20:00,67837.52,67895.16,67764.1,67872.83,1247,953,0
2024-05-23 19:25:00,67872.83,68013.09,67836.72,67937.42,1250,926,0
2024-05-23 19:30:00,67937.79,68011.29,67886.56,67979.3,1248,1477,0
2024-05-23 19:35:00,67979.14,68100.62,67971.31,68062.37,1005,1151,0
2024-05-23 19:40:00,68062.37,68137.6,68007.41,68062.8,871,1500,0
2024-05-23 19:45:00,68063.34,68087.74,67821.34,67844.0,1228,1507,0
2024-05-23 19:50:00,67842.67,67867.6,67752.28,67820.29,1277,1500,0
2024-05-23 19:55:00,67820.43,67886.65,67756.74,67772.95,1150,1500,0
2024-05-23 20:00:00,67772.95,67822.21,67723.64,67738.63,1214,1500,0
2024-05-23 20:05:00,67741.86,67917.19,67725.33,67869.46,1254,1466,0
2024-05-23 20:10:00,67867.0,67977.58,67813.13,67912.07,1086,1056,0
2024-05-23 20:15:00,67912.07,67985.61,67824.52,67870.28,1106,1446,0
2024-05-23 20:20:00,67870.22,67972.25,67833.19,67928.57,1322,1500,0
2024-05-23 20:25:00,67928.57,68016.25,67896.84,68003.49,1237,1507,0
2024-05-23 20:30:00,68001.74,68057.16,67953.56,68011.29,1304,1507,0
2024-05-23 20:35:00,68005.49,68013.77,67839.16,67866.72,1361,1507,0
2024-05-23 20:40:00,67866.72,67955.58,67812.15,67845.24,1301,1111,0
2024-05-23 20:45:00,67849.51,67907.92,67725.4,67764.34,1260,1507,0
2024-05-23 20:50:00,67748.22,67778.99,67617.11,67659.47,1302,1507,0
2024-05-23 20:55:00,67654.49,67681.74,67542.17,67573.51,1439,1500,0
2024-05-23 21:00:00,67578.02,67631.53,67392.91,67426.66,1459,1445,0
2024-05-23 21:05:00,67426.66,67441.79,67118.49,67283.71,1379,1500,0
2024-05-23 21:10:00,67283.71,67317.72,66955.91,67057.83,1422,1500,0
2024-05-23 21:15:00,67068.78,67152.16,66939.98,66967.85,1411,1500,0
2024-05-23 21:20:00,66963.01,67022.85,66664.58,66788.63,1331,568,0
2024-05-23 21:25:00,66788.47,67087.0,66762.97,66971.04,1383,1222,0
2024-05-23 21:30:00,66973.87,67093.69,66934.45,67056.11,1279,645,0
2024-05-23 21:35:00,67056.11,67238.31,66932.68,67189.88,1383,731,0
2024-05-23 21:40:00,67187.38,67219.12,66954.53,67021.69,1416,363,0
2024-05-23 21:45:00,67018.36,67134.73,66999.08,67130.62,1318,1500,0
2024-05-23 21:50:00,67127.3,67272.26,67118.59,67240.04,1094,1162,0
2024-05-23 21:55:00,67240.43,67340.32,67180.78,67307.57,738,818,0
2024-05-23 22:00:00,67307.89,67363.37,67183.91,67213.04,1099,1073,0
2024-05-23 22:05:00,67213.04,67345.61,67146.72,67315.31,883,1500,0
2024-05-23 22:10:00,67323.1,67358.6,67256.96,67285.67,1031,1500,0
2024-05-23 22:15:00,67272.52,67364.37,67158.88,67272.72,1105,1267,0
2024-05-23 22:20:00,67270.89,67293.96,67198.12,67253.65,813,1467,0
2024-05-23 22:25:00,67253.57,67406.62,67222.28,67368.64,938,1345,0
2024-05-23 22:30:00,67371.23,67557.37,67336.21,67542.72,1032,1448,0
2024-05-23 22:35:00,67544.47,67622.32,67446.23,67517.52,914,734,0
2024-05-23 22:40:00,67517.42,67565.69,67469.64,67474.92,848,1266,0
2024-05-23 22:45:00,67474.2,67503.66,67201.45,67364.53,993,1500,0
2024-05-23 22:50:00,67364.61,67400.06,67240.4,67283.72,1020,632,0
2024-05-23 22:55:00,67283.72,67283.72,67012.46,67114.23,1046,1500,0
2024-05-23 23:00:00,67113.65,67117.39,66224.96,66584.55,1319,0,0
2024-05-23 23:05:00,66594.23,66846.31,66444.2,66846.31,1207,0,0
2024-05-23 23:10:00,66846.32,66848.45,66647.86,66689.93,1023,847,0
2024-05-23 23:15:00,66689.45,67321.47,66620.62,67271.73,1101,578,0
2024-05-23 23:20:00,67271.73,67411.07,67202.34,67301.17,890,1500,0
2024-05-23 23:25:00,67302.99,67512.96,67263.63,67424.09,1110,1335,0
2024-05-23 23:30:00,67424.09,67529.63,67304.82,67527.82,1353,945,0
2024-05-23 23:35:00,67527.82,67689.28,67430.81,67512.02,1326,575,0
2024-05-23 23:40:00,67515.65,67526.97,67412.74,67482.64,1125,1500,0
2024-05-23 23:45:00,67482.64,67633.43,67396.97,67609.79,1182,801,0
2024-05-23 23:50:00,67609.79,67690.16,67514.24,67646.2,1240,1267,0
2024-05-23 23:55:00,67646.2,67871.89,67646.2,67769.48,949,0,0
2024-05-24 00:05:00,67662.96,68224.25,67631.46,68180.42,1198,913,0
2024-05-24 00:10:00,68180.42,68271.72,67732.8,67750.22,1156,868,0
2024-05-24 00:15:00,67748.34,67752.88,67118.3,67541.86,1175,1153,0
2024-05-24 00:20:00,67533.07,67576.06,67172.9,67296.37,870,332,0
2024-05-24 00:25:00,67296.37,67379.58,67035.47,67379.46,832,1001,0
2024-05-24 00:30:00,67379.46,67696.76,67346.37,67680.21,669,833,0
2024-05-24 00:35:00,67678.15,67681.19,67415.44,67464.22,788,782,0
2024-05-24 00:40:00,67465.22,67867.11,67465.22,67793.6,1142,1249,0
2024-05-24 00:45:00,67793.6,67876.59,67761.57,67831.22,1098,1500,0
2024-05-24 00:50:00,67831.22,68049.22,67805.21,68029.43,712,810,0
2024-05-24 00:55:00,68029.43,68077.72,67831.58,67938.48,964,1551,0
2024-05-24 01:00:00,67940.22,67946.0,67687.6,67723.22,786,896,0
2024-05-24 01:05:00,67723.22,67787.72,67658.26,67689.36,709,739,0
2024-05-24 01:10:00,67693.72,67782.59,67660.0,67745.95,724,1500,0
2024-05-24 01:15:00,67745.95,67762.57,67611.01,67702.99,830,776,0
2024-05-24 01:20:00,67693.06,67714.21,67600.56,67644.14,814,832,0
2024-05-24 01:25:00,67648.22,67659.77,67547.07,67597.43,782,1282,0
2024-05-24 01:30:00,67597.93,67679.84,67556.7,67643.3,778,1127,0
2024-05-24 01:35:00,67643.3,67690.55,67567.19,67596.84,697,672,0
2024-05-24 01:40:00,67592.19,67641.41,67564.7,67619.24,559,1251,0
2024-05-24 01:45:00,67619.24,67635.42,67515.66,67531.01,598,758,0
2024-05-24 01:50:00,67531.01,67680.51,67512.56,67680.51,550,951,0
2024-05-24 01:55:00,67681.37,67719.78,67597.27,67653.42,511,1500,0
2024-05-24 02:00:00,67653.42,67726.42,67602.3,67650.4,633,900,0
2024-05-24 02:05:00,67650.4,67697.79,67571.6,67600.0,573,896,0
2024-05-24 02:10:00,67600.0,67658.61,67442.48,67485.62,635,947,0
2024-05-24 02:15:00,67484.83,67578.68,67452.86,67539.27,676,838,0
2024-05-24 02:20:00,67539.27,67639.05,67510.5,67617.56,587,1206,0
2024-05-24 02:25:00,67617.64,67690.1,67582.26,67656.39,503,1500,0
2024-05-24 02:30:00,67656.39,67727.77,67538.24,67714.01,662,628,0
2024-05-24 02:35:00,67711.86,67723.68,67642.07,67671.28,600,857,0
2024-05-24 02:40:00,67677.92,67791.19,67621.0,67726.64,649,1500,0
2024-05-24 02:45:00,67726.64,67878.56,67704.88,67878.56,633,1500,0
2024-05-24 02:50:00,67878.56,67951.78,67809.32,67901.83,682,988,0
2024-05-24 02:55:00,67902.15,67961.59,67874.35,67930.26,528,969,0
2024-05-24 03:00:00,67929.24,67957.48,67752.82,67801.57,569,889,0
2024-05-24 03:05:00,67787.67,67801.57,67651.88,67709.98,440,749,0
2024-05-24 03:10:00,67708.41,67734.13,67602.25,67671.16,1137,1126,0
2024-05-24 03:15:00,67671.16,67747.46,67623.0,67738.12,871,964,0
2024-05-24 03:20:00,67738.12,67759.84,67577.9,67661.12,659,1197,0
2024-05-24 03:25:00,67661.37,67750.12,67634.58,67725.12,661,1261,0
2024-05-24 03:30:00,67724.75,67806.41,67667.18,67804.91,608,591,0
2024-05-24 03:35:00,67804.91,67959.2,67772.99,67913.02,776,711,0
2024-05-24 03:40:00,67913.02,67949.35,67840.06,67890.16,564,817,0
2024-05-24 03:45:00,67895.35,67972.89,67804.4,67878.66,1209,1190,0
2024-05-24 03:50:00,67877.32,67923.95,67785.02,67855.86,1183,1441,0
2024-05-24 03:55:00,67856.54,67895.03,67799.46,67800.81,883,714,0
2024-05-24 04:00:00,67804.72,67810.81,67697.39,67724.17,900,965,0
2024-05-24 04:05:00,67722.09,67723.25,67638.47,67688.7,1036,526,0
2024-05-24 04:10:00,67688.02,67693.42,67617.4,67658.64,792,1434,0
2024-05-24 04:15:00,67658.64,67679.62,67612.4,67629.85,562,1084,0
2024-05-24 04:20:00,67630.82,67712.42,67619.77,67700.42,983,926,0
2024-05-24 04:25:00,67704.24,67727.48,67646.36,67663.67,1123,1500,0
2024-05-24 04:30:00,67663.67,67784.77,67646.59,67727.5,1262,1322,0
2024-05-24 04:35:00,67727.5,67796.65,67692.77,67704.89,1213,1500,0
2024-05-24 04:40:00,67704.89,67726.03,67621.45,67704.54,1296,1507,0
2024-05-24 04:45:00,67703.66,67791.83,67694.54,67718.54,1192,1104,0
2024-05-24 04:50:00,67718.54,67792.08,67707.26,67748.58,1184,1500,0
2024-05-24 04:55:00,67741.04,67751.19,67690.7,67697.01,1150,1117,0
2024-05-24 05:00:00,67697.01,67784.2,67666.43,67781.5,1166,1060,0
2024-05-24 05:05:00,67781.5,67807.0,67725.88,67725.95,1148,1227,0
2024-05-24 05:10:00,67725.88,67765.93,67662.56,67758.3,1060,959,0
2024-05-24 05:15:00,67758.3,67806.22,67744.72,67776.46,1054,888,0
2024-05-24 05:20:00,67777.49,67807.18,67725.86,67743.48,1096,1439,0
